model_year,milage,accident,clean_title,price,turbo,brand_encoded,engine_score
2018,98995.0,0,0,34998.0,0,4,0.0
2012,123815.0,0,1,5000.0,0,2,-0.06659451659451654
2011,6330.0,0,1,1950995.0,1,6,1.1175324675324674
2020,61341.0,1,0,34084.0,0,3,0.0
2016,96473.0,0,0,15599.0,0,2,-0.42886002886002883
2017,66107.0,0,0,31331.0,0,3,-0.03167388167388157
2008,114287.0,0,1,9900.0,0,5,0.502886002886003
2015,75000.0,0,1,14500.0,0,3,-0.8256854256854257
2016,45800.0,1,0,36800.0,0,4,0.9141414141414143
2021,12172.0,0,0,35999.0,0,4,0.08917581666424886
2016,70582.0,1,1,35000.0,0,4,-0.11702741702741698
2014,33088.0,0,1,49750.0,0,5,0.0031024531024531365
2021,1850.0,0,1,49000.0,0,3,-0.47373737373737373
2008,94155.0,0,1,10500.0,0,4,0.26587301587301587
2016,25000.0,0,1,17999.0,0,4,0.057215007215007274
2016,99500.0,0,1,27995.0,0,4,0.5624098124098125
2009,158564.0,0,1,8750.0,0,2,0.05569985569985577
2023,20000.0,0,1,78499.0,0,4,-0.017460317460317416
2018,46711.0,1,1,20850.0,0,4,-0.01659451659451654
2017,46496.0,0,1,41000.0,0,3,0.6554834054834054
2019,19800.0,0,1,53800.0,0,5,0.030591630591630642
2008,175000.0,1,1,37900.0,0,3,0.684920634920635
2016,61500.0,0,1,63500.0,0,3,0.684920634920635
2016,49750.0,0,1,65000.0,0,5,-0.07373737373737368
2007,38800.0,0,1,100000.0,0,6,1.0455266955266957
2011,83765.0,0,1,8995.0,0,3,-0.12936507936507932
2023,7388.0,0,1,105500.0,0,5,0.5624098124098125
2023,278.0,0,0,359991.0,0,6,1.5091630591630594
2022,1966.0,0,0,75900.0,1,4,0.2590909090909091
2021,50648.0,0,0,23995.0,1,4,-1.0016594516594515
1993,231500.0,0,1,29500.0,0,3,0.08917581666424886
2021,13692.0,0,1,257000.0,0,6,1.0463924963924964
2013,60058.0,1,1,15000.0,0,2,0.05569985569985577
2017,54423.0,0,1,33950.0,0,6,0.17821067821067826
2022,24001.0,0,0,47498.0,0,3,0.0
2022,14735.0,0,0,50998.0,0,3,0.6872294372294371
2023,2425.0,0,0,42998.0,0,4,-0.42886002886002883
2022,2050.0,0,1,94999.0,0,4,1.5115440115440115
2019,64855.0,0,1,46995.0,0,3,0.3158730158730159
2022,16238.0,0,1,62479.0,0,5,-0.047979797979797935
2022,18051.0,0,1,47995.0,0,5,0.6595238095238095
2004,36524.0,0,1,14900.0,0,3,0.18015873015873016
2022,14896.0,0,0,39998.0,1,3,-0.42886002886002883
2022,14048.0,0,0,29999.0,0,3,-0.58008658008658
2003,224000.0,0,1,3900.0,0,2,-0.7412698412698413
2014,80581.0,0,1,26000.0,0,5,0.5834054834054835
2007,81400.0,1,1,11000.0,0,2,-0.7875901875901876
2019,6700.0,0,1,63000.0,0,5,-0.46854256854256854
2015,143000.0,0,1,22500.0,0,4,-0.07049062049062042
2017,87842.0,0,1,18688.0,1,3,-0.42886002886002883
2010,116451.0,0,1,16500.0,0,2,0.05569985569985577
2019,53677.0,0,1,27900.0,0,3,0.6911976911976913
2021,12000.0,0,1,77500.0,0,4,0.21067821067821071
2019,20034.0,0,0,43998.0,0,5,0.07662337662337662
2020,32000.0,0,1,68000.0,0,4,-0.6828282828282828
2014,70312.0,0,1,19995.0,0,2,0.06046176046176053
2022,8794.0,0,1,54000.0,0,3,-0.061832611832611774
2010,156000.0,1,1,5900.0,0,3,-0.12460317460317455
2020,25568.0,0,1,134999.0,1,5,0.07662337662337662
2018,67100.0,1,1,34250.0,0,5,0.030591630591630642
