model_year,milage,accident,clean_title,price,horsepower,turbo,is_luxury,is_upper_class
2017,44300.0,0,1,20784,189.0,0,0,0
2021,56946.0,0,1,26299,,1,0,0
2012,174000.0,1,1,11999,335.0,0,0,0
2017,47200.0,1,1,29000,340.0,0,0,0
2022,10200.0,0,1,50500,375.0,0,0,0
2008,73000.0,1,1,11500,210.0,0,0,0
2017,13465.0,0,1,44900,455.0,0,0,0
2017,37800.0,0,1,149500,565.0,0,0,0
2017,48200.0,0,1,24998,240.0,0,0,0
2018,110380.0,1,1,22000,316.0,0,0,0
1999,115402.0,0,1,8000,152.0,0,0,0
1999,137790.0,0,1,12000,120.0,0,0,0
2016,83400.0,1,1,22495,235.0,0,0,0
2011,187883.0,0,1,5500,201.0,0,0,0
2015,92225.0,1,1,17000,311.0,0,0,0
2007,228000.0,1,1,3850,292.0,0,0,0
2019,44692.0,0,0,32368,,0,0,0
2012,15698.0,0,1,19000,429.0,0,0,0
2018,75466.0,0,1,34500,355.0,0,0,0
2020,36500.0,0,1,69900,475.0,0,0,0
2017,84000.0,0,1,31000,292.0,0,0,0
2019,35469.0,1,0,30890,,1,0,1
2005,36700.0,0,1,26000,400.0,0,0,0
2022,4590.0,0,1,64000,188.0,0,0,0
2008,41048.0,0,1,38490,414.0,0,0,0
2022,14636.0,0,0,46599,,0,0,1
2008,94653.0,1,1,7300,360.0,0,0,0
2020,9927.0,0,1,27518,,0,0,0
2013,164500.0,1,1,16500,270.0,0,0,0
2020,23162.0,0,1,25495,,0,0,0
2015,41000.0,0,1,30000,445.0,0,0,0
2013,60000.0,0,1,16500,344.0,0,0,0
2021,43329.0,0,1,43642,,1,0,0
2017,86101.0,1,1,72777,577.0,0,0,0
2022,26895.0,1,0,29800,,0,0,0
2016,140200.0,0,1,10500,303.0,0,0,1
2023,5800.0,0,1,29990,228.0,0,0,0
2017,62662.0,1,1,24000,268.0,0,0,0
2010,100472.0,0,1,9975,230.0,0,0,0
2019,17500.0,0,1,65000,518.0,0,0,0
2022,1837.0,0,0,179900,,1,0,1
2021,14684.0,0,0,37995,,0,0,0
2023,450.0,0,1,124000,395.0,0,0,0
2021,33300.0,0,1,45000,188.0,0,0,0
2016,77856.0,0,1,30919,,0,0,0
2005,91420.0,0,1,8900,215.0,0,0,0
2010,68500.0,0,1,18500,204.0,0,0,0
2020,29140.0,0,1,71995,425.0,0,0,0
2020,19200.0,0,1,69999,355.0,0,0,0
2021,35550.0,1,1,25987,,0,0,0
2018,52500.0,0,1,35000,395.0,0,0,0
2015,92421.0,0,1,51900,440.0,0,0,0
2020,44600.0,0,1,28300,182.0,0,0,0
2009,134602.0,0,1,7500,250.0,0,0,0
2016,32936.0,1,1,90000,563.0,0,0,0
1998,149437.0,0,1,9995,182.0,0,0,0
2013,81000.0,1,1,13000,302.0,0,0,0
2017,139105.0,1,1,17550,,0,0,0
2021,62257.0,0,0,42590,,0,0,0
2020,8974.0,1,1,79900,490.0,0,0,0
2013,84220.0,1,1,26500,383.0,0,0,1
2016,68000.0,0,1,12500,175.0,0,0,0
2016,62285.0,1,1,29950,329.0,0,0,0
2010,120321.0,0,1,10500,378.0,0,0,0
2019,36700.0,1,1,48990,348.0,0,0,1
2015,76000.0,0,1,18300,266.0,0,0,0
2011,43000.0,0,1,50900,414.0,0,0,0
2016,120000.0,0,1,19800,208.0,0,0,0
2022,35700.0,1,1,51900,301.0,0,0,0
2017,100600.0,0,1,10000,,0,0,0
2018,49924.0,0,1,26500,293.0,0,0,0
2017,63000.0,1,1,42000,469.0,0,0,0
2017,39000.0,1,1,39000,362.0,0,0,0
2023,1885.0,0,1,93500,835.0,0,0,0
2015,95428.0,0,1,55000,621.0,0,0,0
2017,68871.0,0,1,28450,255.0,0,0,0
2021,20104.0,0,1,33295,,1,0,0
2009,73500.0,1,1,7858,170.0,0,0,0
2016,69000.0,0,1,36500,550.0,0,0,0
2021,27836.0,0,1,36969,,1,0,0
2020,32000.0,0,1,68000,210.0,0,0,0
2020,28357.0,0,0,47598,,0,0,0
2001,125000.0,0,1,18000,200.0,0,0,0
2023,10000.0,0,1,145000,453.0,0,0,1
2005,65750.0,0,1,21750,280.0,0,0,1
2019,7580.0,0,1,51500,456.0,0,0,0
2021,25000.0,0,1,28500,191.0,0,0,0
2018,23500.0,1,1,50000,450.0,0,0,1
2015,108044.0,0,1,31380,,0,0,0
2008,87888.0,0,1,11990,300.0,0,0,0
2018,50000.0,0,1,65000,383.0,0,0,0
2014,35900.0,1,1,27900,385.0,0,0,0
2022,3158.0,0,1,85989,490.0,0,0,0
2023,15500.0,1,1,24500,147.0,0,0,0
2003,142000.0,1,1,4800,184.0,0,0,0
2021,5718.0,0,0,279991,,0,1,0
1994,89144.0,0,1,5899,,0,0,0
2022,7455.0,0,0,68990,,0,0,0
2014,169500.0,0,1,15000,320.0,0,0,0
2019,90067.0,0,0,28590,,1,0,0
2018,70891.0,0,1,28995,260.0,0,0,0
2019,67000.0,0,1,44500,369.0,0,0,0
2022,23000.0,0,1,43000,285.0,0,0,0
2015,25786.0,0,1,38500,380.0,0,0,0
2021,13700.0,0,1,75000,490.0,0,0,0
2012,62500.0,1,1,18955,270.0,0,0,0
2009,190120.0,1,1,12500,390.0,0,0,0
2010,27000.0,0,1,22500,268.0,0,0,0
2015,117292.0,0,1,12000,240.0,0,0,1
2001,171079.0,0,1,27500,245.0,0,0,0
2017,87842.0,0,1,18688,,1,0,0
2021,72843.0,0,1,79990,,0,0,0
2018,36824.0,0,1,23999,174.0,0,0,0
2020,46891.0,1,1,31000,246.0,0,0,0
2009,74600.0,0,1,15000,400.0,0,0,0
2003,67550.0,0,1,30000,325.0,0,0,0
2023,2950.0,0,1,87000,375.0,0,0,0
2020,28000.0,0,1,134999,443.0,0,0,1
2018,41000.0,0,1,108900,563.0,0,0,0
2018,41500.0,1,1,39848,362.0,0,0,0
2008,122000.0,0,1,11500,286.0,0,0,0
2017,53649.0,0,1,33000,295.0,0,0,0
2014,55000.0,0,1,30000,265.0,0,0,0
